"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Max Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1979"	"1979"			Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Mar"	"3"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Apr"	"4"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"May"	"5"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Jun"	"6"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Jul"	"7"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Aug"	"8"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Sep"	"9"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Oct"	"10"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Nov"	"11"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"	"Dec"	"12"	Missing	Missing
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1980"	"1980"			Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Jan"	"1"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Feb"	"2"	Missing	Missing
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"1981"	"1981"	"Mar"	"3"	Missing	Missing
