"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Fine Particulate Matter (µg/m³)
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"Jan"	"1"	14.1880
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"Feb"	"2"	8.9236
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"Mar"	"3"	8.8131
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"Apr"	"4"	5.6767
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"May"	"5"	10.2153
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"Jun"	"6"	8.3975
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"Jul"	"7"	10.5630
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"Aug"	"8"	7.6178
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"Sep"	"9"	8.3071
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"Oct"	"10"	10.1229
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"Nov"	"11"	8.3560
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"	"Dec"	"12"	11.9015
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2003"	"2003"			9.4467
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"Jan"	"1"	12.3205
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"Feb"	"2"	9.0480
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"Mar"	"3"	8.1759
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"Apr"	"4"	7.1904
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"May"	"5"	7.4761
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"Jun"	"6"	7.9604
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"Jul"	"7"	9.1968
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"Aug"	"8"	7.1052
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"Sep"	"9"	8.5628
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"Oct"	"10"	6.4973
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"Nov"	"11"	7.8906
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"	"Dec"	"12"	11.4192
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2004"	"2004"			8.5750
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"Jan"	"1"	9.9296
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"Feb"	"2"	7.4738
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"Mar"	"3"	6.2491
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"Apr"	"4"	6.6923
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"May"	"5"	6.4572
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"Jun"	"6"	9.7258
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"Jul"	"7"	10.9981
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"Aug"	"8"	8.2298
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"Sep"	"9"	8.4756
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"Oct"	"10"	8.3811
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"Nov"	"11"	9.7011
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"	"Dec"	"12"	12.4586
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2005"	"2005"			8.7423
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"Jan"	"1"	9.6257
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"Feb"	"2"	9.4116
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"Mar"	"3"	6.5640
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"Apr"	"4"	5.8597
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"May"	"5"	7.5896
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"Jun"	"6"	9.1725
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"Jul"	"7"	8.5972
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"Aug"	"8"	6.8818
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"Sep"	"9"	6.7804
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"Oct"	"10"	6.4192
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"Nov"	"11"	9.3217
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	"Dec"	"12"	11.6432
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"			8.1493
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"Jan"	"1"	13.4703
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"Feb"	"2"	9.2227
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"Mar"	"3"	6.0255
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"Apr"	"4"	6.5003
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"May"	"5"	5.9209
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"Jun"	"6"	7.4329
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"Jul"	"7"	8.6596
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"Aug"	"8"	9.3424
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"Sep"	"9"	7.7359
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"Oct"	"10"	7.9777
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"Nov"	"11"	11.3146
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	"Dec"	"12"	9.9564
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"			8.6293
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"Jan"	"1"	9.3351
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"Feb"	"2"	9.3522
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"Mar"	"3"	7.4833
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"Apr"	"4"	8.2247
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"May"	"5"	8.2248
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"Jun"	"6"	8.3791
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"Jul"	"7"	14.4625
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"Aug"	"8"	11.6515
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"Sep"	"9"	12.8215
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"Oct"	"10"	11.5833
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"Nov"	"11"	11.1248
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	"Dec"	"12"	11.7781
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"			10.3765
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"Jan"	"1"	17.0948
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"Feb"	"2"	9.7381
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"Mar"	"3"	8.7015
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"Apr"	"4"	9.0648
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"May"	"5"	11.2755
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"Jun"	"6"	12.2188
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"Jul"	"7"	13.9612
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"Aug"	"8"	13.5105
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"Sep"	"9"	12.1898
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"Oct"	"10"	9.0301
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"Nov"	"11"	16.3363
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	"Dec"	"12"	16.2273
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"			12.4679
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"Jan"	"1"	14.1830
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"Feb"	"2"	9.4572
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"Mar"	"3"	9.3785
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"Apr"	"4"	9.3234
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"May"	"5"	6.3720
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"Jun"	"6"	8.3634
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"Jul"	"7"	8.9201
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"Aug"	"8"	8.9454
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"Sep"	"9"	8.7705
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"Oct"	"10"	8.6754
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"Nov"	"11"	10.2219
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	"Dec"	"12"	14.3754
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"			9.7576
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"Jan"	"1"	16.1413
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"Feb"	"2"	9.6680
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"Mar"	"3"	7.8545
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"Apr"	"4"	6.3423
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"May"	"5"	6.8558
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"Jun"	"6"	9.2895
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"Jul"	"7"	10.9851
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"Aug"	"8"	9.8294
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"Sep"	"9"	9.1557
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"Oct"	"10"	8.7946
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"Nov"	"11"	8.1853
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	"Dec"	"12"	14.5347
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"			9.8212
"Total"	"Arizona"	"04"	"Apache County, AZ"	"04001"					9.5517
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Jan"	"1"	14.3344
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Feb"	"2"	9.0172
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Mar"	"3"	10.8141
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Apr"	"4"	8.5362
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"May"	"5"	13.2445
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Jun"	"6"	10.4757
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Jul"	"7"	11.3649
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Aug"	"8"	9.4710
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Sep"	"9"	10.0147
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Oct"	"10"	12.2108
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Nov"	"11"	9.8944
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Dec"	"12"	11.9235
"Total"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2003"	"2003"			10.9709
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Jan"	"1"	10.6033
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Feb"	"2"	9.6492
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Mar"	"3"	10.9564
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Apr"	"4"	9.0016
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"May"	"5"	9.2589
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Jun"	"6"	9.7128
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Jul"	"7"	9.7239
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Aug"	"8"	9.3100
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Sep"	"9"	11.0786
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Oct"	"10"	8.2352
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Nov"	"11"	7.5761
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Dec"	"12"	10.1485
"Total"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2004"	"2004"			9.6072
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Jan"	"1"	8.4380
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Feb"	"2"	7.0659
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Mar"	"3"	8.0846
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Apr"	"4"	9.3768
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"May"	"5"	9.9665
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Jun"	"6"	11.9637
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Jul"	"7"	10.7677
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Aug"	"8"	9.8932
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Sep"	"9"	10.1092
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Oct"	"10"	10.8057
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Nov"	"11"	11.0814
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Dec"	"12"	12.6056
"Total"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2005"	"2005"			10.0306
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Jan"	"1"	10.5602
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Feb"	"2"	9.8541
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Mar"	"3"	8.1082
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Apr"	"4"	8.6743
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"May"	"5"	9.9870
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Jun"	"6"	11.7266
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Jul"	"7"	8.5653
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Aug"	"8"	8.2001
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Sep"	"9"	7.1953
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Oct"	"10"	7.8926
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Nov"	"11"	9.9794
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Dec"	"12"	10.8601
"Total"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"			9.2947
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2007"	"2007"	"Jan"	"1"	9.3024
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2007"	"2007"	"Feb"	"2"	10.1292
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2007"	"2007"	"Mar"	"3"	7.8943
