Notes,State,State Code,County,County Code,Year,Year Code,Month,Month Code,Avg Day Land Surface Temperature (F),Avg Night Land Surface Temperature (F),Cases
,Arizona,4.0,Apache,4001.0,2003,2003.0,Jan,1,56.3483,22.7507,0
,Arizona,4.0,Apache,4001.0,2003,2003.0,Feb,2,57.6063,18.3087,0
,Arizona,4.0,Apache,4001.0,2003,2003.0,Mar,3,72.8166,25.0819,0
,Arizona,4.0,Apache,4001.0,2003,2003.0,Apr,4,87.3119,30.7526,0
,Arizona,4.0,Apache,4001.0,2003,2003.0,May,5,102.8179,41.742,0
,Arizona,4.0,Apache,4001.0,2003,2003.0,Jun,6,114.7581,49.8852,0
,Arizona,4.0,Apache,4001.0,2003,2003.0,Jul,7,122.8439,58.234,0
,Arizona,4.0,Apache,4001.0,2003,2003.0,Aug,8,106.8851,55.7729,0
,Arizona,4.0,Apache,4001.0,2003,2003.0,Sep,9,98.3839,48.2384,0
,Arizona,4.0,Apache,4001.0,2003,2003.0,Oct,10,85.5412,41.2829,1
,Arizona,4.0,Apache,4001.0,2003,2003.0,Nov,11,59.6799,24.4384,0
,Arizona,4.0,Apache,4001.0,2003,2003.0,Dec,12,50.4246,16.7134,0
,Arizona,4.0,Apache,4001.0,2004,2004.0,Jan,1,49.7505,16.83,0
,Arizona,4.0,Apache,4001.0,2004,2004.0,Feb,2,50.8263,13.9446,0
,Arizona,4.0,Apache,4001.0,2004,2004.0,Mar,3,81.9478,30.8625,0
,Arizona,4.0,Apache,4001.0,2004,2004.0,Apr,4,84.9657,34.0686,1
,Arizona,4.0,Apache,4001.0,2004,2004.0,May,5,104.1825,41.9011,0
,Arizona,4.0,Apache,4001.0,2004,2004.0,Jun,6,116.4031,49.8094,0
,Arizona,4.0,Apache,4001.0,2004,2004.0,Jul,7,115.5289,54.4476,1
,Arizona,4.0,Apache,4001.0,2004,2004.0,Aug,8,106.9005,53.1446,2
,Arizona,4.0,Apache,4001.0,2004,2004.0,Sep,9,98.3951,47.9028,1
,Arizona,4.0,Apache,4001.0,2004,2004.0,Oct,10,76.6368,37.7815,1
,Arizona,4.0,Apache,4001.0,2004,2004.0,Nov,11,56.2607,25.6314,0
,Arizona,4.0,Apache,4001.0,2004,2004.0,Dec,12,50.1955,19.3519,1
,Arizona,4.0,Apache,4001.0,2005,2005.0,Jan,1,52.3912,21.8009,1
,Arizona,4.0,Apache,4001.0,2005,2005.0,Feb,2,52.7845,20.5435,0
,Arizona,4.0,Apache,4001.0,2005,2005.0,Mar,3,67.191,25.611,0
,Arizona,4.0,Apache,4001.0,2005,2005.0,Apr,4,87.6797,31.3634,0
,Arizona,4.0,Apache,4001.0,2005,2005.0,May,5,101.1706,42.5699,0
,Arizona,4.0,Apache,4001.0,2005,2005.0,Jun,6,110.027,48.4205,0
,Arizona,4.0,Apache,4001.0,2005,2005.0,Jul,7,121.0813,57.5792,0
,Arizona,4.0,Apache,4001.0,2005,2005.0,Aug,8,102.4015,53.9883,1
,Arizona,4.0,Apache,4001.0,2005,2005.0,Sep,9,96.9388,48.7038,0
,Arizona,4.0,Apache,4001.0,2005,2005.0,Oct,10,81.9817,39.3872,1
,Arizona,4.0,Apache,4001.0,2005,2005.0,Nov,11,65.9798,25.7781,0
,Arizona,4.0,Apache,4001.0,2005,2005.0,Dec,12,54.6451,15.4895,0
,Arizona,4.0,Apache,4001.0,2006,2006.0,Jan,1,56.5096,17.5051,0
,Arizona,4.0,Apache,4001.0,2006,2006.0,Feb,2,66.5738,19.0955,0
,Arizona,4.0,Apache,4001.0,2006,2006.0,Mar,3,67.4793,24.4937,0
,Arizona,4.0,Apache,4001.0,2006,2006.0,Apr,4,92.1171,33.6678,0
,Arizona,4.0,Apache,4001.0,2006,2006.0,May,5,108.9546,43.8815,1
,Arizona,4.0,Apache,4001.0,2006,2006.0,Jun,6,119.0875,52.2966,0
,Arizona,4.0,Apache,4001.0,2006,2006.0,Jul,7,114.3554,57.47,1
,Arizona,4.0,Apache,4001.0,2006,2006.0,Aug,8,99.2274,54.1053,0
,Arizona,4.0,Apache,4001.0,2006,2006.0,Sep,9,91.5927,44.7892,0
,Arizona,4.0,Apache,4001.0,2006,2006.0,Oct,10,71.8406,36.074,0
,Arizona,4.0,Apache,4001.0,2006,2006.0,Nov,11,68.0782,27.8228,1
