"Notes"	"County"	"County Code"	"Year"	"Year Code"	Heat Wave Days Based on Daily Maximum Temperature
	"Apache County, AZ"	"04001"	"2000"	"2000"	11
	"Apache County, AZ"	"04001"	"2001"	"2001"	4
	"Apache County, AZ"	"04001"	"2002"	"2002"	19
	"Apache County, AZ"	"04001"	"2003"	"2003"	21
	"Apache County, AZ"	"04001"	"2004"	"2004"	0
	"Apache County, AZ"	"04001"	"2005"	"2005"	10
	"Apache County, AZ"	"04001"	"2006"	"2006"	11
	"Apache County, AZ"	"04001"	"2007"	"2007"	10
	"Apache County, AZ"	"04001"	"2008"	"2008"	3
	"Apache County, AZ"	"04001"	"2009"	"2009"	13
	"Apache County, AZ"	"04001"	"2010"	"2010"	6
"Total"	"Apache County, AZ"	"04001"			Not Applicable
	"Cochise County, AZ"	"04003"	"2000"	"2000"	5
	"Cochise County, AZ"	"04003"	"2001"	"2001"	2
	"Cochise County, AZ"	"04003"	"2002"	"2002"	14
	"Cochise County, AZ"	"04003"	"2003"	"2003"	16
	"Cochise County, AZ"	"04003"	"2004"	"2004"	2
	"Cochise County, AZ"	"04003"	"2005"	"2005"	19
	"Cochise County, AZ"	"04003"	"2006"	"2006"	7
	"Cochise County, AZ"	"04003"	"2007"	"2007"	11
	"Cochise County, AZ"	"04003"	"2008"	"2008"	6
	"Cochise County, AZ"	"04003"	"2009"	"2009"	19
	"Cochise County, AZ"	"04003"	"2010"	"2010"	6
"Total"	"Cochise County, AZ"	"04003"			Not Applicable
	"Coconino County, AZ"	"04005"	"2000"	"2000"	11
	"Coconino County, AZ"	"04005"	"2001"	"2001"	8
	"Coconino County, AZ"	"04005"	"2002"	"2002"	20
	"Coconino County, AZ"	"04005"	"2003"	"2003"	19
	"Coconino County, AZ"	"04005"	"2004"	"2004"	0
	"Coconino County, AZ"	"04005"	"2005"	"2005"	11
	"Coconino County, AZ"	"04005"	"2006"	"2006"	13
	"Coconino County, AZ"	"04005"	"2007"	"2007"	13
	"Coconino County, AZ"	"04005"	"2008"	"2008"	2
	"Coconino County, AZ"	"04005"	"2009"	"2009"	7
	"Coconino County, AZ"	"04005"	"2010"	"2010"	6
"Total"	"Coconino County, AZ"	"04005"			Not Applicable
	"Gila County, AZ"	"04007"	"2000"	"2000"	14
	"Gila County, AZ"	"04007"	"2001"	"2001"	4
	"Gila County, AZ"	"04007"	"2002"	"2002"	15
	"Gila County, AZ"	"04007"	"2003"	"2003"	19
	"Gila County, AZ"	"04007"	"2004"	"2004"	0
	"Gila County, AZ"	"04007"	"2005"	"2005"	9
	"Gila County, AZ"	"04007"	"2006"	"2006"	13
	"Gila County, AZ"	"04007"	"2007"	"2007"	14
	"Gila County, AZ"	"04007"	"2008"	"2008"	2
	"Gila County, AZ"	"04007"	"2009"	"2009"	21
	"Gila County, AZ"	"04007"	"2010"	"2010"	6
"Total"	"Gila County, AZ"	"04007"			Not Applicable
	"Graham County, AZ"	"04009"	"2000"	"2000"	10
	"Graham County, AZ"	"04009"	"2001"	"2001"	2
	"Graham County, AZ"	"04009"	"2002"	"2002"	9
	"Graham County, AZ"	"04009"	"2003"	"2003"	21
	"Graham County, AZ"	"04009"	"2004"	"2004"	0
	"Graham County, AZ"	"04009"	"2005"	"2005"	10
	"Graham County, AZ"	"04009"	"2006"	"2006"	10
	"Graham County, AZ"	"04009"	"2007"	"2007"	13
	"Graham County, AZ"	"04009"	"2008"	"2008"	2
	"Graham County, AZ"	"04009"	"2009"	"2009"	19
	"Graham County, AZ"	"04009"	"2010"	"2010"	8
"Total"	"Graham County, AZ"	"04009"			Not Applicable
	"Greenlee County, AZ"	"04011"	"2000"	"2000"	9
	"Greenlee County, AZ"	"04011"	"2001"	"2001"	2
	"Greenlee County, AZ"	"04011"	"2002"	"2002"	15
	"Greenlee County, AZ"	"04011"	"2003"	"2003"	20
	"Greenlee County, AZ"	"04011"	"2004"	"2004"	0
	"Greenlee County, AZ"	"04011"	"2005"	"2005"	10
	"Greenlee County, AZ"	"04011"	"2006"	"2006"	7
	"Greenlee County, AZ"	"04011"	"2007"	"2007"	8
	"Greenlee County, AZ"	"04011"	"2008"	"2008"	0
	"Greenlee County, AZ"	"04011"	"2009"	"2009"	20
	"Greenlee County, AZ"	"04011"	"2010"	"2010"	11
"Total"	"Greenlee County, AZ"	"04011"			Not Applicable
	"La Paz County, AZ"	"04012"	"2000"	"2000"	8
	"La Paz County, AZ"	"04012"	"2001"	"2001"	6
	"La Paz County, AZ"	"04012"	"2002"	"2002"	4
