State,State Code,County,County Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Max Heat Index (F),Cases
Arizona,4.0,Apache,4001.0,2000,2000.0,Apr,4,66.4823,80.0146,0
Arizona,4.0,Apache,4001.0,2000,2000.0,May,5,76.8939,82.3241,0
Arizona,4.0,Apache,4001.0,2000,2000.0,Jun,6,83.4659,82.8265,0
Arizona,4.0,Apache,4001.0,2000,2000.0,Jul,7,87.0683,84.9458,0
Arizona,4.0,Apache,4001.0,2000,2000.0,Aug,8,84.4054,84.6214,0
Arizona,4.0,Apache,4001.0,2000,2000.0,Sep,9,79.5529,81.8049,0
Arizona,4.0,Apache,4001.0,2000,2000.0,Oct,10,62.336,80.1865,0
Arizona,4.0,Apache,4001.0,2001,2001.0,Apr,4,61.7264,78.7941,0
Arizona,4.0,Apache,4001.0,2001,2001.0,May,5,74.8284,80.7263,0
Arizona,4.0,Apache,4001.0,2001,2001.0,Jun,6,83.2256,83.7614,0
Arizona,4.0,Apache,4001.0,2001,2001.0,Jul,7,85.2732,84.0689,0
Arizona,4.0,Apache,4001.0,2001,2001.0,Aug,8,83.8995,83.537,0
Arizona,4.0,Apache,4001.0,2001,2001.0,Sep,9,79.952,81.3327,0
Arizona,4.0,Apache,4001.0,2001,2001.0,Oct,10,68.5299,79.2536,0
Arizona,4.0,Apache,4001.0,2002,2002.0,Apr,4,66.8518,78.4643,1
Arizona,4.0,Apache,4001.0,2002,2002.0,May,5,72.644,82.4414,0
Arizona,4.0,Apache,4001.0,2002,2002.0,Jun,6,85.6315,84.4179,0
Arizona,4.0,Apache,4001.0,2002,2002.0,Jul,7,87.9544,85.8349,0
Arizona,4.0,Apache,4001.0,2002,2002.0,Aug,8,84.7835,83.9599,1
Arizona,4.0,Apache,4001.0,2002,2002.0,Sep,9,75.2379,81.4256,0
Arizona,4.0,Apache,4001.0,2003,2003.0,May,5,73.9416,82.2317,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Jun,6,81.7589,82.3885,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Jul,7,90.5002,87.4801,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Aug,8,84.845,84.3141,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Sep,9,78.7127,81.2611,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Oct,10,71.154,79.7593,1
Arizona,4.0,Apache,4001.0,2004,2004.0,May,5,73.1248,79.4529,0
Arizona,4.0,Apache,4001.0,2004,2004.0,Jun,6,81.8652,82.2917,0
Arizona,4.0,Apache,4001.0,2004,2004.0,Jul,7,85.4957,84.2014,1
Arizona,4.0,Apache,4001.0,2004,2004.0,Aug,8,81.5239,82.8425,2
Arizona,4.0,Apache,4001.0,2004,2004.0,Sep,9,74.7093,81.4862,1
Arizona,4.0,Apache,4001.0,2005,2005.0,May,5,72.5494,82.4594,0
Arizona,4.0,Apache,4001.0,2005,2005.0,Jun,6,79.1788,82.707,0
Arizona,4.0,Apache,4001.0,2005,2005.0,Jul,7,88.7803,86.3609,0
Arizona,4.0,Apache,4001.0,2005,2005.0,Aug,8,81.9708,82.3209,1
Arizona,4.0,Apache,4001.0,2005,2005.0,Sep,9,77.5752,81.0191,0
Arizona,4.0,Apache,4001.0,2005,2005.0,Oct,10,65.736,79.2104,1
Arizona,4.0,Apache,4001.0,2006,2006.0,Apr,4,64.3498,78.4385,0
Arizona,4.0,Apache,4001.0,2006,2006.0,May,5,75.3307,80.9279,1
Arizona,4.0,Apache,4001.0,2006,2006.0,Jun,6,85.3085,84.1158,0
Arizona,4.0,Apache,4001.0,2006,2006.0,Jul,7,86.6207,85.9996,1
Arizona,4.0,Apache,4001.0,2006,2006.0,Aug,8,80.852,82.2923,0
Arizona,4.0,Apache,4001.0,2006,2006.0,Sep,9,72.8818,80.7705,0
Arizona,4.0,Apache,4001.0,2006,2006.0,Oct,10,62.2662,79.8431,0
Arizona,4.0,Apache,4001.0,2007,2007.0,Mar,3,56.2278,78.4,0
Arizona,4.0,Apache,4001.0,2007,2007.0,Apr,4,63.326,79.4492,1
Arizona,4.0,Apache,4001.0,2007,2007.0,May,5,71.8355,79.9295,0
Arizona,4.0,Apache,4001.0,2007,2007.0,Jun,6,82.946,83.8919,0
Arizona,4.0,Apache,4001.0,2007,2007.0,Jul,7,87.4774,85.9062,0
Arizona,4.0,Apache,4001.0,2007,2007.0,Aug,8,84.7465,84.5221,1
Arizona,4.0,Apache,4001.0,2007,2007.0,Sep,9,77.3724,81.8623,3
Arizona,4.0,Apache,4001.0,2007,2007.0,Oct,10,66.0469,79.268,0
Arizona,4.0,Apache,4001.0,2008,2008.0,May,5,67.1414,81.8348,0
Arizona,4.0,Apache,4001.0,2008,2008.0,Jun,6,81.5706,83.1148,0
Arizona,4.0,Apache,4001.0,2008,2008.0,Jul,7,84.2479,84.368,0
Arizona,4.0,Apache,4001.0,2008,2008.0,Aug,8,83.5676,83.8209,1
Arizona,4.0,Apache,4001.0,2008,2008.0,Sep,9,76.4283,80.4102,0
Arizona,4.0,Apache,4001.0,2008,2008.0,Oct,10,65.6097,79.22,1
Arizona,4.0,Apache,4001.0,2009,2009.0,Apr,4,60.0954,78.2286,0
Arizona,4.0,Apache,4001.0,2009,2009.0,May,5,75.156,80.2865,0
Arizona,4.0,Apache,4001.0,2009,2009.0,Jun,6,77.7237,81.944,0
Arizona,4.0,Apache,4001.0,2009,2009.0,Jul,7,88.2356,85.5553,2
Arizona,4.0,Apache,4001.0,2009,2009.0,Aug,8,84.9876,83.5089,2
Arizona,4.0,Apache,4001.0,2009,2009.0,Sep,9,77.3175,81.2224,1
Arizona,4.0,Apache,4001.0,2009,2009.0,Oct,10,61.2996,79.0488,0
Arizona,4.0,Apache,4001.0,2010,2010.0,May,5,67.7223,80.2,4
Arizona,4.0,Apache,4001.0,2010,2010.0,Jun,6,82.209,83.1658,0
Arizona,4.0,Apache,4001.0,2010,2010.0,Jul,7,85.9144,85.0608,2
Arizona,4.0,Apache,4001.0,2010,2010.0,Aug,8,82.5248,83.2182,3
Arizona,4.0,Apache,4001.0,2010,2010.0,Sep,9,79.7885,81.6499,0
Arizona,4.0,Apache,4001.0,2010,2010.0,Oct,10,65.9799,81.021,2
Arizona,4.0,Apache,4001.0,2011,2011.0,May,5,66.8059,79.3626,3
