State,State Code,County,County Code,Year,Year Code,Month,Month Code,Avg Fine Particulate Matter (µg/m³),Cases
Arizona,4.0,Apache,4001.0,2003,2003.0,Jan,1,14.188,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Feb,2,8.9236,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Mar,3,8.8131,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Apr,4,5.6767,0
Arizona,4.0,Apache,4001.0,2003,2003.0,May,5,10.2153,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Jun,6,8.3975,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Jul,7,10.563,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Aug,8,7.6178,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Sep,9,8.3071,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Oct,10,10.1229,1
Arizona,4.0,Apache,4001.0,2003,2003.0,Nov,11,8.356,0
Arizona,4.0,Apache,4001.0,2003,2003.0,Dec,12,11.9015,0
Arizona,4.0,Apache,4001.0,2004,2004.0,Jan,1,12.3205,0
Arizona,4.0,Apache,4001.0,2004,2004.0,Feb,2,9.048,0
Arizona,4.0,Apache,4001.0,2004,2004.0,Mar,3,8.1759,0
Arizona,4.0,Apache,4001.0,2004,2004.0,Apr,4,7.1904,1
Arizona,4.0,Apache,4001.0,2004,2004.0,May,5,7.4761,0
Arizona,4.0,Apache,4001.0,2004,2004.0,Jun,6,7.9604,0
Arizona,4.0,Apache,4001.0,2004,2004.0,Jul,7,9.1968,1
Arizona,4.0,Apache,4001.0,2004,2004.0,Aug,8,7.1052,2
Arizona,4.0,Apache,4001.0,2004,2004.0,Sep,9,8.5628,1
Arizona,4.0,Apache,4001.0,2004,2004.0,Oct,10,6.4973,1
Arizona,4.0,Apache,4001.0,2004,2004.0,Nov,11,7.8906,0
Arizona,4.0,Apache,4001.0,2004,2004.0,Dec,12,11.4192,1
Arizona,4.0,Apache,4001.0,2005,2005.0,Jan,1,9.9296,1
Arizona,4.0,Apache,4001.0,2005,2005.0,Feb,2,7.4738,0
Arizona,4.0,Apache,4001.0,2005,2005.0,Mar,3,6.2491,0
Arizona,4.0,Apache,4001.0,2005,2005.0,Apr,4,6.6923,0
Arizona,4.0,Apache,4001.0,2005,2005.0,May,5,6.4572,0
Arizona,4.0,Apache,4001.0,2005,2005.0,Jun,6,9.7258,0
Arizona,4.0,Apache,4001.0,2005,2005.0,Jul,7,10.9981,0
Arizona,4.0,Apache,4001.0,2005,2005.0,Aug,8,8.2298,1
Arizona,4.0,Apache,4001.0,2005,2005.0,Sep,9,8.4756,0
Arizona,4.0,Apache,4001.0,2005,2005.0,Oct,10,8.3811,1
Arizona,4.0,Apache,4001.0,2005,2005.0,Nov,11,9.7011,0
Arizona,4.0,Apache,4001.0,2005,2005.0,Dec,12,12.4586,0
Arizona,4.0,Apache,4001.0,2006,2006.0,Jan,1,9.6257,0
Arizona,4.0,Apache,4001.0,2006,2006.0,Feb,2,9.4116,0
Arizona,4.0,Apache,4001.0,2006,2006.0,Mar,3,6.564,0
Arizona,4.0,Apache,4001.0,2006,2006.0,Apr,4,5.8597,0
Arizona,4.0,Apache,4001.0,2006,2006.0,May,5,7.5896,1
