County,County Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Max Heat Index (F),Cases
Maricopa,4013.0,2000,2000.0,Jan,1,66.9554,79.5684,166
Maricopa,4013.0,2000,2000.0,Feb,2,69.488,78.7013,132
Maricopa,4013.0,2000,2000.0,Mar,3,71.2567,79.4633,126
Maricopa,4013.0,2000,2000.0,Apr,4,84.7078,84.6871,87
Maricopa,4013.0,2000,2000.0,May,5,94.0593,90.1346,109
Maricopa,4013.0,2000,2000.0,Jun,6,100.0212,96.4786,124
Maricopa,4013.0,2000,2000.0,Jul,7,104.0016,100.2437,123
Maricopa,4013.0,2000,2000.0,Aug,8,100.6663,99.5773,118
Maricopa,4013.0,2000,2000.0,Sep,9,97.4743,94.8702,62
Maricopa,4013.0,2000,2000.0,Oct,10,80.431,86.3508,141
Maricopa,4013.0,2001,2001.0,Mar,3,73.0745,81.1814,90
Maricopa,4013.0,2001,2001.0,Apr,4,78.8049,85.2324,77
Maricopa,4013.0,2001,2001.0,May,5,94.9661,91.6496,83
Maricopa,4013.0,2001,2001.0,Jun,6,100.7209,95.969,90
Maricopa,4013.0,2001,2001.0,Jul,7,101.2088,98.8397,115
Maricopa,4013.0,2001,2001.0,Aug,8,100.7947,100.0805,130
Maricopa,4013.0,2001,2001.0,Sep,9,98.2071,95.6106,108
Maricopa,4013.0,2001,2001.0,Oct,10,87.1653,84.6798,103
Maricopa,4013.0,2001,2001.0,Nov,11,74.9624,81.6103,307
Maricopa,4013.0,2002,2002.0,Feb,2,70.3524,79.0946,180
Maricopa,4013.0,2002,2002.0,Mar,3,72.4073,81.076,162
Maricopa,4013.0,2002,2002.0,Apr,4,84.1767,84.4428,224
Maricopa,4013.0,2002,2002.0,May,5,89.7775,87.1909,181
Maricopa,4013.0,2002,2002.0,Jun,6,101.6833,96.1158,150
Maricopa,4013.0,2002,2002.0,Jul,7,102.5568,99.6556,173
Maricopa,4013.0,2002,2002.0,Aug,8,102.3612,99.2534,166
Maricopa,4013.0,2002,2002.0,Sep,9,96.8949,94.2778,127
Maricopa,4013.0,2002,2002.0,Oct,10,82.3601,84.4679,166
Maricopa,4013.0,2002,2002.0,Nov,11,73.8813,78.9649,231
Maricopa,4013.0,2003,2003.0,Jan,1,69.7615,79.1385,222
Maricopa,4013.0,2003,2003.0,Feb,2,64.6241,78.8873,138
Maricopa,4013.0,2003,2003.0,Mar,3,71.9452,80.2037,135
Maricopa,4013.0,2003,2003.0,Apr,4,76.8258,81.404,130
Maricopa,4013.0,2003,2003.0,May,5,91.4338,90.362,92
Maricopa,4013.0,2003,2003.0,Jun,6,99.0431,93.8577,114
Maricopa,4013.0,2003,2003.0,Jul,7,105.5085,102.6232,181
Maricopa,4013.0,2003,2003.0,Aug,8,100.7752,100.0617,180
Maricopa,4013.0,2003,2003.0,Sep,9,97.1524,95.376,171
Maricopa,4013.0,2003,2003.0,Oct,10,90.2778,88.4728,209
Maricopa,4013.0,2003,2003.0,Nov,11,68.7914,78.8558,142
Maricopa,4013.0,2004,2004.0,Feb,2,62.4548,78.9734,271
Maricopa,4013.0,2004,2004.0,Mar,3,81.3412,83.4603,196
Maricopa,4013.0,2004,2004.0,Apr,4,80.0391,82.7151,166
Maricopa,4013.0,2004,2004.0,May,5,91.8458,87.7089,160
Maricopa,4013.0,2004,2004.0,Jun,6,98.8026,93.7061,209
Maricopa,4013.0,2004,2004.0,Jul,7,102.7433,100.0524,239
Maricopa,4013.0,2004,2004.0,Aug,8,100.3885,97.6449,272
Maricopa,4013.0,2004,2004.0,Sep,9,95.0494,92.2775,262
Maricopa,4013.0,2004,2004.0,Oct,10,80.7875,85.2799,221
Maricopa,4013.0,2004,2004.0,Nov,11,65.6355,78.8389,278
Maricopa,4013.0,2005,2005.0,Mar,3,69.8108,80.388,96
Maricopa,4013.0,2005,2005.0,Apr,4,79.474,82.0581,131
Maricopa,4013.0,2005,2005.0,May,5,91.1617,88.9488,172
Maricopa,4013.0,2005,2005.0,Jun,6,97.8358,93.2256,141
Maricopa,4013.0,2005,2005.0,Jul,7,104.9746,102.2957,152
Maricopa,4013.0,2005,2005.0,Aug,8,99.2711,99.318,217
Maricopa,4013.0,2005,2005.0,Sep,9,96.2689,92.9456,161
Maricopa,4013.0,2005,2005.0,Oct,10,84.2043,84.6768,230
Maricopa,4013.0,2005,2005.0,Nov,11,74.3232,80.5409,391
Maricopa,4013.0,2006,2006.0,Feb,2,70.7921,79.1172,414
Maricopa,4013.0,2006,2006.0,Mar,3,68.3422,79.3261,526
Maricopa,4013.0,2006,2006.0,Apr,4,80.234,82.2997,403
Maricopa,4013.0,2006,2006.0,May,5,93.1108,89.3396,305
Maricopa,4013.0,2006,2006.0,Jun,6,103.8077,98.8453,330
