County,County Code,Year,Year Code,Month,Month Code,Avg Fine Particulate Matter (µg/m³),Cases
Maricopa,4013.0,2003,2003.0,Jan,1,17.2934,222
Maricopa,4013.0,2003,2003.0,Feb,2,10.7803,138
Maricopa,4013.0,2003,2003.0,Mar,3,12.3512,135
Maricopa,4013.0,2003,2003.0,Apr,4,7.4104,130
Maricopa,4013.0,2003,2003.0,May,5,13.6516,92
Maricopa,4013.0,2003,2003.0,Jun,6,12.0654,114
Maricopa,4013.0,2003,2003.0,Jul,7,13.5439,181
Maricopa,4013.0,2003,2003.0,Aug,8,9.6224,180
Maricopa,4013.0,2003,2003.0,Sep,9,12.1998,171
Maricopa,4013.0,2003,2003.0,Oct,10,14.8745,209
Maricopa,4013.0,2003,2003.0,Nov,11,11.3745,142
Maricopa,4013.0,2003,2003.0,Dec,12,14.3286,305
Maricopa,4013.0,2004,2004.0,Jan,1,13.9681,226
Maricopa,4013.0,2004,2004.0,Feb,2,10.8677,271
Maricopa,4013.0,2004,2004.0,Mar,3,12.5279,196
Maricopa,4013.0,2004,2004.0,Apr,4,9.3912,166
Maricopa,4013.0,2004,2004.0,May,5,9.8096,160
Maricopa,4013.0,2004,2004.0,Jun,6,11.539,209
Maricopa,4013.0,2004,2004.0,Jul,7,10.3632,239
Maricopa,4013.0,2004,2004.0,Aug,8,9.0592,272
Maricopa,4013.0,2004,2004.0,Sep,9,10.4598,262
Maricopa,4013.0,2004,2004.0,Oct,10,9.4132,221
Maricopa,4013.0,2004,2004.0,Nov,11,10.4559,278
Maricopa,4013.0,2004,2004.0,Dec,12,13.5863,202
Maricopa,4013.0,2005,2005.0,Jan,1,10.142,135
Maricopa,4013.0,2005,2005.0,Feb,2,7.7331,124
Maricopa,4013.0,2005,2005.0,Mar,3,9.0418,96
Maricopa,4013.0,2005,2005.0,Apr,4,9.5642,131
Maricopa,4013.0,2005,2005.0,May,5,9.8183,172
Maricopa,4013.0,2005,2005.0,Jun,6,11.6816,141
Maricopa,4013.0,2005,2005.0,Jul,7,12.3458,152
Maricopa,4013.0,2005,2005.0,Aug,8,10.1811,217
Maricopa,4013.0,2005,2005.0,Sep,9,10.4937,161
Maricopa,4013.0,2005,2005.0,Oct,10,11.7619,230
Maricopa,4013.0,2005,2005.0,Nov,11,12.8385,391
Maricopa,4013.0,2005,2005.0,Dec,12,16.241,511
Maricopa,4013.0,2006,2006.0,Jan,1,12.6218,221
Maricopa,4013.0,2006,2006.0,Feb,2,12.5158,414
Maricopa,4013.0,2006,2006.0,Mar,3,8.1301,526
Maricopa,4013.0,2006,2006.0,Apr,4,7.5778,403
Maricopa,4013.0,2006,2006.0,May,5,9.3375,305
Maricopa,4013.0,2006,2006.0,Jun,6,10.6339,330
Maricopa,4013.0,2006,2006.0,Jul,7,9.3629,353
Maricopa,4013.0,2006,2006.0,Aug,8,8.0467,340
Maricopa,4013.0,2006,2006.0,Sep,9,8.5209,193
Maricopa,4013.0,2006,2006.0,Oct,10,8.3108,221
Maricopa,4013.0,2006,2006.0,Nov,11,11.8119,298
Maricopa,4013.0,2006,2006.0,Dec,12,14.6483,605
Maricopa,4013.0,2007,2007.0,Jan,1,12.5167,326
Maricopa,4013.0,2007,2007.0,Feb,2,10.5921,309
Maricopa,4013.0,2007,2007.0,Mar,3,8.4474,280
Maricopa,4013.0,2007,2007.0,Apr,4,8.1193,288
Maricopa,4013.0,2007,2007.0,May,5,8.044,245
Maricopa,4013.0,2007,2007.0,Jun,6,10.3087,233
Maricopa,4013.0,2007,2007.0,Jul,7,9.9316,296
Maricopa,4013.0,2007,2007.0,Aug,8,10.8985,282
Maricopa,4013.0,2007,2007.0,Sep,9,9.0698,208
Maricopa,4013.0,2007,2007.0,Oct,10,12.1238,255
Maricopa,4013.0,2007,2007.0,Nov,11,14.8761,354
Maricopa,4013.0,2007,2007.0,Dec,12,12.7471,379
Maricopa,4013.0,2008,2008.0,Jan,1,10.1198,304
Maricopa,4013.0,2008,2008.0,Feb,2,10.6641,302
Maricopa,4013.0,2008,2008.0,Mar,3,10.7984,235
Maricopa,4013.0,2008,2008.0,Apr,4,11.7145,248
Maricopa,4013.0,2008,2008.0,May,5,11.0337,315
Maricopa,4013.0,2008,2008.0,Jun,6,11.1891,229
Maricopa,4013.0,2008,2008.0,Jul,7,14.7151,246
Maricopa,4013.0,2008,2008.0,Aug,8,12.0459,226
Maricopa,4013.0,2008,2008.0,Sep,9,14.3315,260
Maricopa,4013.0,2008,2008.0,Oct,10,13.6745,243
Maricopa,4013.0,2008,2008.0,Nov,11,12.6977,352
Maricopa,4013.0,2008,2008.0,Dec,12,13.8059,546
Maricopa,4013.0,2009,2009.0,Jan,1,17.3835,424
Maricopa,4013.0,2009,2009.0,Feb,2,9.7448,246
Maricopa,4013.0,2009,2009.0,Mar,3,12.1299,287
Maricopa,4013.0,2009,2009.0,Apr,4,11.1441,287
Maricopa,4013.0,2009,2009.0,May,5,13.792,361
Maricopa,4013.0,2009,2009.0,Jun,6,12.2803,1009
Maricopa,4013.0,2009,2009.0,Jul,7,15.2874,898
Maricopa,4013.0,2009,2009.0,Aug,8,14.4384,799
Maricopa,4013.0,2009,2009.0,Sep,9,13.3625,924
Maricopa,4013.0,2009,2009.0,Oct,10,11.9974,866
Maricopa,4013.0,2009,2009.0,Nov,11,17.3271,1076
Maricopa,4013.0,2009,2009.0,Dec,12,16.0215,910
Maricopa,4013.0,2010,2010.0,Jan,1,14.7631,736
Maricopa,4013.0,2010,2010.0,Feb,2,10.2293,646
Maricopa,4013.0,2010,2010.0,Mar,3,10.62,735
Maricopa,4013.0,2010,2010.0,Apr,4,9.4272,552
Maricopa,4013.0,2010,2010.0,May,5,6.7374,663
Maricopa,4013.0,2010,2010.0,Jun,6,7.5779,703
Maricopa,4013.0,2010,2010.0,Jul,7,7.0675,673
Maricopa,4013.0,2010,2010.0,Aug,8,6.4174,774
Maricopa,4013.0,2010,2010.0,Sep,9,7.6091,727
Maricopa,4013.0,2010,2010.0,Oct,10,7.4825,915
Maricopa,4013.0,2010,2010.0,Nov,11,10.4387,1085
Maricopa,4013.0,2010,2010.0,Dec,12,15.2369,1251
Maricopa,4013.0,2011,2011.0,Jan,1,15.2838,1178
Maricopa,4013.0,2011,2011.0,Feb,2,9.7515,1030
Maricopa,4013.0,2011,2011.0,Mar,3,8.6116,1145
Maricopa,4013.0,2011,2011.0,Apr,4,6.7932,1101
Maricopa,4013.0,2011,2011.0,May,5,7.4662,1099
Maricopa,4013.0,2011,2011.0,Jun,6,8.1637,1124
Maricopa,4013.0,2011,2011.0,Jul,7,9.6393,1112
Maricopa,4013.0,2011,2011.0,Aug,8,9.2885,1272
Maricopa,4013.0,2011,2011.0,Sep,9,9.2091,958
Maricopa,4013.0,2011,2011.0,Oct,10,9.1868,994
