Year,Month,Practice,Dust Emissions,Sunlight,Wind Speed
2024,1,No Treatment,87.45401188473625,466.48852816008434,9.56069984217036
2021,2,No Treatment,145.07143064099162,342.46782213565524,12.851759613930136
2024,3,No Treatment,123.1993941811405,336.3649934414201,6.996737821583597
2021,4,No Treatment,109.86584841970367,336.68090197068676,10.142344384136116
2020,5,No Treatment,65.60186404424365,360.8484485919075,10.924145688620424
2023,6,No Treatment,65.59945203362027,404.9512863264476,5.4645041271999775
2023,7,No Treatment,55.80836121681995,386.3890037284232,11.075448519014383
2023,8,No Treatment,136.6176145774935,358.2458280396084,6.705241236872915
2024,9,No Treatment,110.11150117432088,422.3705789444759,5.650515929852795
2020,10,No Treatment,120.80725777960456,327.89877213040836,14.488855372533333
2024,11,No Treatment,52.05844942958024,358.4289297070436,14.656320330745594
2024,12,No Treatment,146.99098521619942,373.27236865873834,13.08397348116461
2020,1,Organic Material Cover,76.75474838799633,466.48852816008434,9.56069984217036
2020,2,Organic Material Cover,126.54100871695631,342.46782213565524,12.851759613930136
2020,3,Organic Material Cover,112.72178502814803,336.3649934414201,6.996737821583597
2020,4,Organic Material Cover,98.28078851512932,336.68090197068676,10.142344384136116
2023,5,Organic Material Cover,55.262059988267076,360.8484485919075,10.924145688620424
2022,6,Organic Material Cover,58.99127593137094,404.9512863264476,5.4645041271999775
2022,7,Organic Material Cover,45.57141030629014,386.3890037284232,11.075448519014383
2020,8,Organic Material Cover,127.04905714053197,358.2458280396084,6.705241236872915
2022,9,Organic Material Cover,96.68815087288897,422.3705789444759,5.650515929852795
2022,10,Organic Material Cover,110.35175484518392,327.89877213040836,14.488855372533333
2020,11,Organic Material Cover,44.969715247516326,358.4289297070436,14.656320330745594
2022,12,Organic Material Cover,132.4925669063576,373.27236865873834,13.08397348116461
2024,1,Mulch,70.4303123012218,466.48852816008434,9.56069984217036
2021,2,Mulch,112.90568906804857,342.46782213565524,12.851759613930136
2021,3,Mulch,103.255361622558,336.3649934414201,6.996737821583597
2020,4,Mulch,90.64400696937409,336.68090197068676,10.142344384136116
2023,5,Mulch,56.876480651036815,360.8484485919075,10.924145688620424
2020,6,Mulch,56.4278351311727,404.9512863264476,5.4645041271999775
2023,7,Mulch,45.625688761566806,386.3890037284232,11.075448519014383
2021,8,Mulch,113.51283401222597,358.2458280396084,6.705241236872915
2020,9,Mulch,83.9741259599759,422.3705789444759,5.650515929852795
2024,10,Mulch,93.60563484787511,327.89877213040836,14.488855372533333
2022,11,Mulch,37.099032432769576,358.4289297070436,14.656320330745594
2023,12,Mulch,115.8460914805922,373.27236865873834,13.08397348116461
